Contract,Price,Year,Make&Model,Location,Miles
Sold,1800,2008,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"Teaneck, NJ",200000
Sold,1000,2000,Mercedes-Benz c-class C 230 Sedan 4D,"Bronx, NY",124000
Sold,10900,2012,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"Tinton Falls, NJ",70000
Sold,4000,2008,Mercedes-Benz c-class C 300 4MATIC Luxury Sedan 4D,"Staten Island, NY",128000
Sold,2000,2008,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"Elizabethport, NJ",138000
Sold,1350,2000,Mercedes-Benz c-class C 230 Sedan 4D,"Morganville, NJ",192000
Sold,8009,2013,Mercedes-Benz c-class C 250 Coupe 2D,"New York, NY",78000
Sold,2800,2000,Mercedes-Benz c-class C 230 Sedan 4D,"Keyport, NJ",182000
Sold,4800,2001,Mercedes-Benz c-class C 240 Sedan 4D,"Dumont, NJ",72000
Sold,4500,2008,Mercedes-Benz 656104808687563 C 300 Luxury Sedan 4D,"Whitestone, NY",124000
Sold,3800,2009,Mercedes-Benz c-class C 350 Sport Sedan 4D,"Brooklyn, NY",160000
Sold,4999,2008,Mercedes-Benz c-class C 350 Sport Sedan 4D,"South Richmond Hill, NY",153000
Sold,8900,2012,Mercedes-Benz c-class C 300 4MATIC Sport Sedan 4D,"New Brunswick, NJ",75000
