Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,4800,2008,Toyota tacoma access cab,"Staten Island, NY",204000,A
Sold,4000,2002,Toyota tacoma xtracab Pickup,"Elizabeth, NJ",300000,A
Sold,4500,2003,Toyota tacoma,"Central Islip, NY",180000,A
Sold,5700,2007,Toyota tacoma access cab Pickup 4D 6 ft,"Staten Island, NY",200000,B
Sold,1200,1998,Toyota tacoma regular cab,"Old Bridge, NJ",237000,A
Sold,3600,2005,Toyota tacoma access cab,"Brooklyn, NY",199000,A
Sold,5310,2003,Toyota tacoma xtracab 4x4 5 speed 3.4 clean frame,"Closter, NJ",160000,B
Sold,6400,2005,Toyota tacoma access cab TRD PRO 4x4,"Bronx, NY",186000,B
Sold,1800,1997,Toyota tacoma xtracab,"Edison, NJ",198000,A
Sold,8500,1997,Toyota tacoma regular cab Short Bed,"Stamford, CT",158000,B
Sold,9300,2007,Toyota tacoma Club Cab Pickup,"Linden, NJ",102000,B
Sold,2500,2002,Toyota tacoma xtracab Limited Pickup,"Mahopac, NY",200000,A
Sold,6000,2003,Toyota tacoma regular cab Pickup 2D 6 ft,"West Sayville, NY",201000,B
Sold,5500,2008,Toyota tacoma regular cab Pickup 2D 6 ft,"Secaucus, NJ",171000,B
Sold,13800,2010,Toyota tacoma double cab,"Bronx, NY",89000,C
Sold,1500,2004,Toyota tacoma xtracab Pickup 2D 6 ft,"Bay Shore, NY",11000,A
Sold,9000,2003,Toyota tacoma xtracab Pickup 2D 6 ft,"Wayne, NJ",227000,B
Sold,13500,2001,Toyota tacoma xtracab,"New York, NY",305000,C
