Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,2000,2000,Jeep grand cherokee Limited Sport Utility 4D,"Brooklyn, NY",128000,A
Sold,1500,2002,Jeep grand cherokee Laredo Sport Utility 4D,"Floral Park, NY",180000,A
Sold,1650,1998,Jeep grand cherokee Laredo Sport Utility 4D,"Middletown, NY",240000,A
Sold,2500,1999,Jeep grand cherokee no rust Limited,"Amityville, NY",162000,A
Sold,1800,2001,Jeep grand cherokee Laredo Sport Utility 4D,"Staten Island, NY",175000,A
Sold,2250,1999,Jeep grand cherokee Laredo Sport Utility 4D,"Orange, NJ",100000,A
Sold,1999,2003,Jeep grand cherokee laredo,"Clifton, NJ",103000,A
Sold,1800,2004,Jeep grand cherokee Laredo Sport Utility 4D,"Islip, NY",168000,A
Pending,5000,2002,Jeep grand cherokee Laredo Sport Utility 4D,"Baldwin, NY",46000,A
Sold,1000,2004,Jeep grand cherokee laredo 4x4,"Bloomfield, NJ",309000,A
Sold,1500,2000,Jeep grand cherokee Laredo Sport Utility 4D,"Islip, NY",121000,A
Sold,5000,2004,Jeep grand cherokee Laredo Sport Utility 4D,"Titusville, NJ",131000,A
Sold,1000,2002,Jeep grand cherokee,"Elizabethport, NJ",1900,A
Sold,2600,1999,Jeep grand cherokee Laredo Sport Utility 4D,"Toms River, NJ",116000,A
Sold,3500,2004,Jeep grand cherokee,"Newark, NJ",104000,A
Sold,1375,2002,Jeep grand cherokee Laredo Sport Utility 4D,"Roselle, NJ",249000,A
Sold,1800,2004,Jeep grand cherokee Laredo Sport Utility 4D,"Lindenhurst, NY",347000,A
Sold,1200,2004,Jeep grand cherokee,"Mamaroneck, NY",104000,A
Sold,13000,2010,Jeep grand cherokee SRT8 Sport Utility 4D,"Yonkers, NY",117000,C
Sold,1200,2004,Jeep grand cherokee Laredo Sport Utility 4D,"East Islip, NY",145000,A
Sold,2000,2004,Jeep grand cherokee Laredo Sport Utility 4D,"Jamaica, NY",200000,A
Sold,1700,2001,Jeep grand cherokee,"Andover, NJ",237000,A
Sold,2500,2004,Jeep grand cherokee Limited Sport Utility 4D,"Newark, NJ",140000,A
Sold,1500,2003,Jeep grand cherokee Laredo Sport Utility 4D,"Jamaica, NY",151000,A
