Contract,Price,Year,Make&Model,Location,Miles
Sold,3500,2006,Hummer h3,"Dolgeville, NY",167000
Pending,2000,2008,Hummer h3 Sport Utility 4D,"Croghan, NY",160000
Pending,6500,2006,Hummer h3 Sport Utility 4D,"Windsor, CT",25000
Sold,3500,2007,Hummer h3 Sport Utility 4D,"Fulton, NY",237000
Sold,3000,2006,Hummer h3 Sport Utility 4D,"Toms River, NJ",130000
Sold,2000,2006,Hummer h3 Sport Utility 4D,"Port Jervis, NY",183000
Sold,7995,2007,Hummer h3 Sport Utility 4D,"North Easton, MA",156000
Sold,1234,2006,Hummer h3 Sport Utility 4D,"Chicopee, MA",139000
Sold,2500,2007,Hummer h3,"Unadilla, NY",139000
Sold,7995,2007,Hummer h3 Sport Utility 4D,"Lagrangeville, NY",152000
Sold,10495,2007,Hummer h3 Sport Utility 4D,"West Babylon, NY",123000
Sold,4000,2008,Hummer h3,"Fulton, NY",229000
Sold,3500,2007,Hummer h3 Sport Utility 4D,"Hillsborough, NJ",203000
Sold,3900,2008,Hummer h3,"Bethlehem, PA",170000
Sold,10999,2008,Hummer h3,"Garfield, NJ",91000
Sold,6400,2007,Hummer h3 Sport Utility 4D,"Spring Valley, NY",167000
Sold,4000,2008,Hummer h3,"Allentown, PA",151000
Sold,7500,2007,Hummer h3 Sport Utility 4D,"Ashaway, RI",114000
Sold,4700,2006,Hummer h3 Sport Utility 4D,"Trenton, NJ",180000
Sold,3500,2008,Hummer h3 Sport Utility 4D,"Peach Bottom, PA",176000
Sold,5000,2008,Hummer h3,"Mohawk, NY",130000
Sold,4700,2006,Hummer h3 Sport Utility 4D,"Trenton, NJ",185000
Sold,5950,2006,"Hummer h3 4X4 5Spd.Manual MoonRoof,3.5L","Milford, CT",161000
Sold,8750,2007,Hummer h3 Sport Utility 4D,"Oakdale, NY",136000
Sold,2500,2007,Hummer h3 Sport Utility 4D,"Gloucester, VA",165000
Sold,4200,2006,Hummer h3 Sport Utility 4D,"Lowellville, OH",151000
Sold,3500,2006,Hummer h3 Sport Utility 4D,"Matawan, NJ",191000
Sold,3500,2006,Hummer h3 Sport Utility 4D,"Binghamton, NY",180000
Sold,7900,2007,Hummer h3 Sport Utility 4D,"Mannsville, NY",92000
Sold,5000,2006,Hummer h3 Sport Utility 4D,"Williamsport, PA",206000
Sold,2200,2006,Hummer h3 Sport Utility 4D,"Kitty Hawk, NC",148000
Sold,7800,2008,Hummer h3 Alpha Sport Utility 4D,"Owings Mills, MD",149000
Sold,6999,2007,Hummer h3,"Plainville, CT",150000
