Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,4950,2015,Mitsubishi mirage DE Hatchback 4D,"Brentwood, NY",110000,A
Sold,4500,2017,Mitsubishi mirage g4 ES Sedan 4D,"Newark, NJ",104000,A
Sold,12800,2022,Mitsubishi mirage g4,"Baldwin, NY",19000,C
Sold,12800,2022,Mitsubishi mirage g4,"Valley Stream, NY",19000,C
Sold,12800,2022,Mitsubishi mirage g4 LE Sedan 4D,"Baldwin, NY",19000,C
Sold,12200,2019,Mitsubishi mirage g4 ES Sedan 4D,"North Bergen, NJ",45000,C
Sold,1500,1999,Mitsubishi mirage DE Sedan 4D,"Williamsburg, VA",227000,A
Sold,1500,1999,Mitsubishi mirage DE Coupe 2D,"Chicopee, MA",170000,A
Sold,1080,2015,Mitsubishi mirage DE Hatchback 4D,"Port Matilda, PA",113000,A
Sold,5750,2017,Mitsubishi mirage g4,"Plainfield, NJ",102000,B
Sold,2000,2020,Mitsubishi mirage g4 LE Sedan 4D,"Boston, MA",38000,A
Sold,2700,1999,Mitsubishi mirage LS Coupe 2D,"York, PA",1200,A
Sold,1234,2015,Mitsubishi mirage RF Hatchback 4D,"Berwyn, PA",15000,A
Sold,18000,2023,Mitsubishi mirage Ralli Art 4D Hatchback,"Emmaus, PA",300,D
