Contract,Price,Year,Make&Model,Location,Miles
Sold,2800,2007,Audi a4,"Brooklyn, NY",141000
Pending,4000,2007,Audi a4 3.2 Avant Quattro Wagon 4D,"Jersey City, NJ",200000
Sold,2700,2007,Audi a4,"Brooklyn, NY",141000
Sold,2999,2008,Audi a4 2.0T Sedan 4D,"Bronx, NY",182000
Sold,5999,2011,Audi a4 2.0T Quattro Premium Sedan 4D,"Teaneck, NJ",146000
Sold,2000,2006,Audi a4 3.0 Quattro Cabriolet 2D,"Holmdel, NJ",107000
Sold,6500,2015,Audi a4 Premium Sedan 4D,"Richmond Hill, NY",158000
Sold,3800,2003,Audi a4 1.8T Avant Quattro Wagon 4D,"Clark, NJ",201000
Sold,1500,2007,Audi a4 2.0T Quattro Cabriolet 2D,"Toms River, NJ",119000
Sold,3800,2010,Audi a4 2.0T Quattro Premium Sedan 4D,"Fresh Meadows, NY",122000
Sold,3900,2007,Audi a4 2.0T Sedan 4D,"Bergenfield, NJ",90000
Sold,1500,2007,Audi a4 2.0T Quattro Sedan 4D,"Hazlet, NJ",172000
Sold,2000,2002,Audi a4 Sedan 4D,"Brooklyn, NY",160000
Sold,2500,2008,Audi a4 2.0T Quattro Sedan 4D,"New York, NY",108000
Sold,3000,2013,Audi a4 Premium Sedan 4D,"Mamaroneck, NY",125000
Sold,5500,2007,Audi a4 2.0T Sedan 4D,"Freeport, NY",113000
Pending,22000,2019,Audi a4 Premium Plus Sedan 4D,"Wallington, NJ",13000
Sold,2500,2004,Audi a4 1.8T Sedan 4D,"Corona, NY",90000
Sold,1500,2010,Audi a4 2.0T Quattro Premium Sedan 4D,"Prospect Park, NJ",180000
Sold,2200,2011,Audi a4 2.0T Premium Sedan 4D,"Richmond Hill, NY",116000
Sold,2900,2008,Audi a4,"Belleville, NJ",117000
Sold,1200,2006,Audi a4 2.0T Quattro Sedan 4D,"Sussex, NJ",115000
Sold,4399,2006,Audi a4 2.0T Quattro Sedan 4D,"Tappan, NY",99000
Sold,6000,2009,Audi a4 3.2 Quattro Sedan 4D,"Staten Island, NY",119000
Sold,6000,2006,Audi a4,"Ronkonkoma, NY",94000
Sold,6300,2009,Audi a4 2.0T Quattro Sedan 4D,"Garden City, NY",131000
Sold,5000,2004,Audi a4 3.0 Quattro Cabriolet 2D,"East Orange, NJ",105000
Sold,24000,2019,Audi a4 Titanium Premium Sedan 4D,"Denville, NJ",48000
Sold,6500,2008,Audi a4 2.0T Sedan 4D,"Beachwood, NJ",88000
Sold,2800,2006,Audi a4 convertible,"Jamaica, NY",93000
Sold,6000,2011,Audi a4 2.0T Quattro Premium Sedan 4D,"Staten Island, NY",130000
Sold,4900,2009,Audi a4 2.0T Quattro Sedan 4D,"Brooklyn, NY",145000
Sold,4320,2011,Audi a4 2.0T Quattro Premium Sedan 4D,"Brooklyn, NY",137000
