Contract,Price,Year,Make&Model,Location,Miles
Pending,4900,2007,Dodge nitro R/T Sport Utility 4D,"Warrington, PA",141000
Sold,2000,2007,Dodge nitro SLT Sport Utility 4D,"Averill Park, NY",216000
Sold,3000,2007,Dodge nitro,"Lynchburg, VA",164000
Sold,1300,2007,Dodge nitro SLT Sport Utility 4D,"Dolgeville, NY",171000
Sold,5250,2010,Dodge nitro SE Sport Utility 4D,"Staten Island, NY",100000
Sold,1250,2007,Dodge nitro,"Toms River, NJ",207000
Sold,3000,2008,Dodge nitro,"South Ozone Park, NY",130000
Sold,1500,2007,Dodge nitro SXT Sport Utility 4D,"Perryville, MD",164000
Sold,4750,2011,Dodge nitro SE Sport Utility 4D,"Newark, NJ",82000
Sold,1500,2007,Dodge nitro,"Galloway, NJ",168000
Sold,4750,2011,Dodge nitro SE Sport Utility 4D,"Newark, NJ",81000
Sold,4500,2007,Dodge nitro R/T Sport Utility 4D,"Middletown, PA",196000
Sold,1500,2008,Dodge nitro SXT Sport Utility 4D,"Pittsburgh, PA",209000
