Contract,Price,Year,Make&Model,Location,Miles,Category
Sold,6500,2000,Cadillac eldorado ETC Coupe 2D,"Wellsville, NY",63000,B
Pending,1500,1992,Cadillac eldorado Coupe 2D,"Fitzwilliam, NH",77000,A
Sold,2000,1998,Cadillac eldorado Coupe 2D,"New Haven, CT",145000,A
Sold,2100,1998,Cadillac eldorado Etc,"Towanda, PA",152000,A
Pending,15000,1980,Cadillac eldorado,"Philadelphia, PA",39000,C
Sold,5300,1994,Cadillac eldorado,"Johnstown, PA",26000,B
Sold,1000,2000,Cadillac eldorado ESC Coupe 2D,"Gibbstown, NJ",80000,A
Sold,1000,1984,Cadillac eldorado Coupe 2D,"Attleboro, MA",124000,A
Sold,3500,1988,Cadillac eldorado,"West Babylon, NY",103000,A
Sold,4900,2002,Cadillac eldorado ETC Coupe 2D,"Paw Paw, WV",87000,A
Sold,1000,1976,Cadillac eldorado Convertible￼,"Annapolis, MD",30000,A
Sold,8500,1976,Cadillac eldorado,"East Bridgewater, MA",54000,B
Sold,4500,2002,Cadillac eldorado ETC Coupe 2D,"Paw Paw, WV",87000,A
Sold,3200,1976,Cadillac eldorado,"Mahopac, NY",84000,A
Sold,16200,1979,Cadillac eldorado,"Pittsburgh, PA",13000,D
