Contract,Price,Year,Make&Model,Location,Miles
Sold,10000,2016,Smart fortwo Passion Hatchback Coupe 2D,"Brooklyn, NY",8600
Sold,4500,2011,Smart fortwo Pure Hatchback Coupe 2D,"Brooklyn, NY",78000
Sold,9000,2016,Smart fortwo PASSION�,"College Point, NY",69000
Sold,1100,2013,Smart fortwo Passion Hatchback Coupe 2D,"Bronx, NY",125000
Sold,4200,2009,Smart fortwo Passion Cabriolet 2D,"Staten Island, NY",44000
Sold,3200,2009,Smart fortwo Passion Hatchback Coupe 2D,"Mahopac, NY",131000
Sold,6800,2015,Smart fortwo Passion Hatchback Coupe 2D,"Staten Island, NY",71000
Sold,8900,2016,Smart fortwo Prime Hatchback Coupe 2D,"Brooklyn, NY",109000
Sold,9600,2016,Smart fortwo,"College Point, NY",69000
Sold,6300,2015,Smart fortwo,"Jericho, NY",61000
Sold,6999,2008,Smart fortwo Passion Hatchback Coupe 2D,"Middletown, NY",42000
Sold,7500,2013,Smart fortwo passion cabriolet,"Staten Island, NY",41000
Sold,7995,2014,Smart fortwo pure 2dr hatchback,"Inwood, NY",50000
Sold,9999,2016,Smart fortwo electric drive,"Doylestown, PA",100000
Sold,3400,2008,Smart fortwo Passion Hatchback Coupe 2D,"White Plains, MD",112000
Sold,1120,2008,Smart fortwo,"Fredericksburg, VA",130000
Sold,9600,2016,Smart fortwo,"New York, NY",69000
Sold,4999,2013,Smart fortwo electric drive Cabriolet 2D,"Poughkeepsie, NY",84000
Sold,3850,2012,Smart fortwo,"Brooklyn, NY",5800
Sold,3300,2008,Smart fortwo,"Philadelphia, PA",105000
Sold,4000,2009,Smart fortwo,"Hughesville, MD",74000
Pending,8800,2015,Smart fortwo,"Reading, PA",25000
Sold,3950,2009,Smart fortwo Passion Cabriolet 2D,"Mansfield, MA",88000
Sold,4500,2013,Smart fortwo Passion Hatchback Coupe 2D,"Stevensville, MD",70000
Sold,3000,2008,Smart fortwo Passion Cabriolet 2D,"Lynn, MA",64000
Sold,4800,2009,Smart fortwo,"Frackville, PA",120000
Sold,4050,2008,Smart fortwo Pure Hatchback Coupe 2D,"Torrington, CT",116000
